currency_unit,date,day,buy_rate,middle_rate,sell_rate
USD,25 Feb 2019 ,Monday,4.0680000000000005,4.0705,4.073
USD,26 Feb 2019 ,Tuesday,4.07,4.072,4.074
USD,27 Feb 2019 ,Wednesday,4.064,4.0655,4.067
USD,28 Feb 2019 ,Thursday,4.069,4.0705,4.072
USD,1 Mar 2019 ,Friday,4.071000000000001,4.073,4.075
USD,4 Mar 2019 ,Monday,4.074,4.0765,4.079
USD,5 Mar 2019 ,Tuesday,4.074,4.0760000000000005,4.078
USD,6 Mar 2019 ,Wednesday,4.091,4.093,4.095
USD,7 Mar 2019 ,Thursday,4.086,4.0885,4.091
USD,8 Mar 2019 ,Friday,4.089,4.091,4.093
USD,11 Mar 2019 ,Monday,4.085,4.0875,4.09
USD,12 Mar 2019 ,Tuesday,4.08,4.0815,4.083
USD,13 Mar 2019 ,Wednesday,4.0865,4.0885,4.0905
USD,14 Mar 2019 ,Thursday,4.088,4.0895,4.091
USD,15 Mar 2019 ,Friday,4.086,4.088,4.09
USD,18 Mar 2019 ,Monday,4.074,4.0765,4.079
USD,19 Mar 2019 ,Tuesday,4.073,4.0755,4.078
USD,20 Mar 2019 ,Wednesday,4.07,4.0715,4.073
USD,21 Mar 2019 ,Thursday,4.06,4.0625,4.065
USD,22 Mar 2019 ,Friday,4.06,4.0625,4.065
USD,25 Mar 2019 ,Monday,4.0680000000000005,4.0705,4.073
USD,26 Mar 2019 ,Tuesday,4.066,4.0685,4.071000000000001
USD,27 Mar 2019 ,Wednesday,4.075,4.0775,4.08
USD,28 Mar 2019 ,Thursday,4.077,4.079,4.081
USD,29 Mar 2019 ,Friday,4.083,4.085,4.087
USD,1 Apr 2019 ,Monday,4.078,4.08,4.082
